TAXON_ORDER,SPECIES_CODE,COMMON_NAME,REASON,PRIORITY,PARTNER_REQUEST,CONT_MAX,CUSTOM_TAX_YEAR,BOW_LINK,MODEL_AS_RESIDENT,SUMMARIZE_AS_RESIDENT,LAND,STATUS,REVIEWER,LAST_REVIEWER,ANIMATION_QUALITY,NONBREEDING_START,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,RESIDENT_START,RESIDENT_TREND_START,RESIDENT_TREND_END,RESIDENT_END,NONBREEDING_QUALITY,PREBREEDING_MIGRATION_QUALITY,BREEDING_QUALITY,POSTBREEDING_MIGRATION_QUALITY,FULL_YEAR_QUALITY,SENSITIVE,FORCE_GLOBAL_PROJ,CUSTOM_ES,notes,LAST_SUBMISSION_TIME
32794,yetbun1,Yellow-throated Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/yetbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,12-13,03-15,03-22,04-26,05-03,07-26,08-30,12-06,,,,,2,2,1,2,2,,,,"Animation shows some of the movement, but the resident areas entirely disappear for some of the year. Static maps decent except breeding, missing northern China/southern Russia range, but apparently overextrapolated some in central China. Other seasons better, just slightly underextrapolated overall.",2025-03-16T18:09:12.268Z
32827,yebbun,Yellow-breasted Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/yebbun/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-06,03-15,03-29,06-07,06-14,07-19,07-26,11-29,,,,,2,1,1,1,1,,,,"Breeding in Russia is missing, but okay in Mongolia, so keeping at 1 for that. Nonbreeding generally seems pretty good, if a little jumpy, week to week.",2026-07-15T21:31:27.079Z
32838,bkfbun2,Masked Bunting,Japan,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/bkfbun2/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-20,03-08,03-29,05-17,05-24,09-06,10-11,12-13,,,,,3,2,2,2,2,,,,"Animation shows movements pretty well but flickers around some. Static maps pretty good, breeding slightly overextrapolates into central Honshu but otherwise near perfect. Nonbreeding essentially perfect, maybe missing a couple of tiny areas in the Ryukyu islands.",2025-03-16T18:03:22.011Z
32697,crebun1,Crested Bunting,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/crebun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,12-06,02-01,,,04-19,09-13,,,,,,,0,0,0,0,0,,,,,
32698,blhbun1,Black-headed Bunting,Europe,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/blhbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,10-25,02-15,03-08,05-24,05-31,07-05,07-12,10-18,,,,,2,2,2,2,2,,,,,
32699,rehbun1,Red-headed Bunting,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/rehbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-06,03-01,03-08,05-17,05-24,07-19,08-23,11-29,,,,,2,1,1,1,1,,,,,
32705,chebun2,Chestnut-eared Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/chebun2/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-13,02-15,02-22,06-07,06-14,07-19,09-06,12-06,,,,,1,1,1,1,1,,,,"Resident pops in China blink on and off, not persistent. East India and Japan seem decent throughout. Breeding in Russia and northern China missing. ",2026-07-15T21:35:16.405Z
32711,rocbun1,Rock Bunting,Europe,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/rocbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-15,02-22,,,03-22,08-16,,,,,,,2,0,2,0,2,,,,,
32716,godbun1,Godlewski's Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/godbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,11-08,03-08,,,05-31,08-23,,,,,,,0,0,0,0,0,,,,,
32724,meabun1,Meadow Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/meabun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,11-08,03-22,,,04-26,08-16,,,,,,,0,0,0,0,0,,,,,
32732,chbbun1,White-capped Bunting,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/chbbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,11-22,03-15,03-22,05-10,05-17,07-05,09-06,11-15,,,,,1,1,1,1,1,,,,,
